id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
110907,škľabka ploská,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T22:45:35Z
150016,škľabka,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T22:46:38Z
151728,škľabka ázijská,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T22:47:09Z
1392135,hrachovka otupená,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T22:49:25Z
1362845,hrachovka lištová,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T22:49:55Z
1392133,hrachovka hrčavá,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T22:50:29Z
1404687,hrachovka severská,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T22:51:51Z
1392137,hrachovka lesklá,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T22:52:23Z
1391927,hrachovka kôstkovitá,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T22:52:59Z
1392138,hrachovka prosná,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T22:53:37Z
1392134,hrachovka šikmá,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T22:54:12Z
1041016,hrachovka čiarkovaná,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T22:55:38Z
995555,hrachovka,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T22:56:04Z
1145865,hrachovka bahenná,sk,"","",,Slovak,Marek Hrušovský,2025-07-14T22:56:52Z
469669,silenka zelenokvetá,sk,"","",,Slovak,Samo Sučík,2025-07-18T10:53:33Z
159088,loboda tatárska,sk,"","",,Slovak,Samo Sučík,2025-07-18T10:54:03Z
239583,balota čierna pravá,sk,"","",,Slovak,Samo Sučík,2025-07-18T10:54:34Z
75398,láskavec zelenoklasý,sk,"","",,Slovak,Samo Sučík,2025-07-18T10:55:09Z
53179,stavikrv vtáčí prícestný,sk,"","",,Slovak,Samo Sučík,2025-07-18T10:55:46Z
82511,mliečnik myrtovitý,sk,"","",,Slovak,Samo Sučík,2025-07-18T10:56:19Z
57215,štiav klbkatý,sk,"","",,Slovak,Samo Sučík,2025-07-18T10:56:59Z
71140,psiarka kolienkatá,sk,"","",,Slovak,Samo Sučík,2025-07-18T10:57:25Z
75896,stoklas roľný,sk,"","",,Slovak,Samo Sučík,2025-07-18T10:57:49Z
78650,lipnica močiarna,sk,"","",,Slovak,Samo Sučík,2025-07-18T10:58:41Z
56846,torica roľná,sk,"","",,Slovak,Samo Sučík,2025-07-18T10:59:09Z
79106,silenka vidlicovitá,sk,"","",,Slovak,Samo Sučík,2025-07-18T10:59:46Z
737484,ďatelinovec bylinný,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:03:22Z
480754,ostrica líščia,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:04:13Z
336308,bielolist žltkastý,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:04:50Z
156523,chrumkavec roľný,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:05:24Z
79482,ovsec pochybný,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:05:53Z
167168,chrumkavec väčší,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:06:24Z
363724,timotejka uzlovitá,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:06:56Z
169744,vrabcovník obyčajný,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:07:33Z
635562,ostrica šupinatoplodá,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:08:20Z
48983,vstavačovec,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:09:05Z
57920,voškovník obyčajný,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:10:00Z
76782,bahnička močiarna,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:11:06Z
61112,veronika štítkovitá,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:11:42Z
76217,zemežlč spanilá,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:31:20Z
71065,žabník kopijovitý,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:31:46Z
931646,mrlík sivý,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:32:39Z
400433,ostrica Otrubova,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:33:28Z
51768,kokarda rozkošná,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:34:04Z
169138,mlieč močiarny,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:34:45Z
711416,ľadenec Borbášov,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:36:39Z
521379,rimbaba karpatská,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:37:31Z
159760,zvonček širokolistý,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:39:32Z
1460613,ostrica Hartmanova,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:40:17Z
412940,kyslička plazivá,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:40:47Z
48516,ľuľkovité,sk,"","",,Slovak,Samo Sučík,2025-07-18T11:41:24Z
128252,stužkavec modrý,sk,"","",,Slovak,Dave,2025-07-19T13:50:41Z
503276,stužkavec slivkový,sk,"","",,Slovak,Dave,2025-07-19T13:53:07Z
497111,stužkavec lindový,sk,"","",,Slovak,Dave,2025-07-19T13:57:56Z
504262,stužkavec trnkový,sk,"","",,Slovak,Dave,2025-07-19T13:59:56Z
320063,kôrovka ovocná,sk,"","",,Slovak,Dave,2025-07-19T14:11:15Z
311373,pierkavec žltokrídly,sk,"","",,Slovak,Jakub Liptak,2025-07-23T10:40:10Z
48148,vejárovcovité,sk,"","",,Slovak,Jakub Liptak,2025-07-23T10:40:52Z
70203,vejárovec kozolistový,sk,"","",,Slovak,Jakub Liptak,2025-07-23T10:41:31Z
485436,vejárovec Hübnerov,sk,"","",,Slovak,Jakub Liptak,2025-07-23T10:42:05Z
519063,vejárovec hlaváčový,sk,"","",,Slovak,Jakub Liptak,2025-07-23T10:42:32Z
875201,vejárovec čistcový,sk,"","",,Slovak,Jakub Liptak,2025-07-23T10:43:19Z
781071,vejárovec zemolezový,sk,"","",,Slovak,Jakub Liptak,2025-07-23T10:44:54Z
498468,pamora červenkastá,sk,"","",,Slovak,Marek Hrušovský,2025-07-24T07:06:59Z
199433,pamora,sk,"","",,Slovak,Marek Hrušovský,2025-07-24T07:07:25Z
468393,morička fialkastá,sk,"","",,Slovak,Marek Hrušovský,2025-07-24T07:08:14Z
121922,morička,sk,"","",,Slovak,Marek Hrušovský,2025-07-24T07:08:47Z
477078,sivkavec Latreillov,sk,"","",,Slovak,Marek Hrušovský,2025-07-24T07:09:30Z
48669,sivkavec,sk,"","",,Slovak,Marek Hrušovský,2025-07-24T07:09:54Z
470603,sivkavec mediteránny,sk,"","",,Slovak,Marek Hrušovský,2025-07-24T07:10:31Z
124859,sivkavec,sk,"","",,Slovak,Marek Hrušovský,2025-07-24T07:11:07Z
497783,mora podobná,sk,"","",,Slovak,Marek Hrušovský,2025-07-24T07:11:44Z
127622,cikádočka ružová,sk,"","",https://www.inaturalist.org/taxon_names/3920466/edit,Slovak,,2025-07-25T16:36:28Z
603136,morička černicová,sk,"","",,Slovak,Dave,2025-07-26T19:24:06Z
460511,vijačka machová,sk,"","",,Slovak,Dave,2025-07-26T19:26:55Z
124318,mora jastrabníková,sk,"","",,Slovak,Dave,2025-07-26T19:29:40Z
322140,piadica dúbravová,sk,"","",,Slovak,Dave,2025-07-26T19:31:12Z
324010,siatica čakanová,sk,"","",,Slovak,Dave,2025-07-26T19:32:40Z
213514,mora trávová,sk,"","",,Slovak,Dave,2025-07-26T19:35:16Z
324397,mora smlzová,sk,"","",,Slovak,Dave,2025-07-26T19:36:31Z
