
sciName,commonNameSBM,commonNameINat,differenceCategory
Ranunculus olgae,iskerník afganský,Iskerník Oľgin,proper
Ranunculus rionii,močiarka Rionova,Močiarka Rioniho,proper
Ranunculus,"iskerník, močiarka",Iskerník,proper
Reynoutria japonica,krídlatka japonská,Pohánkovec Japonský,proper
Reynoutria,krídlatka,Pohánkovec,proper
Rhododendron luteum,rododendron žltý,Rododendrón Žltý,diacritics
Ribes americanum,ríbezľa americká,Ríbezľa Zlatá,proper
Ribes uva-crispa,egreš obyčajný,Ríbezľa Egrešová,proper
Ribes,"ríbezľa, egreš, josta",Ríbezľa,proper
Rosa sweginzowii,ruža Sweginsowova,Ruža Prvosienková,proper
Rubus caesius,ostružina sivobelasá,Ostružina Ožinová,proper
Rubus idaeus,malina obyčajná,Ostružina Malinová,proper
Rubus phoenicolasius,ostružina purpurovočervená,Japonský Černica,proper
Rubus ulmifolius,ostružina brestolistá,Ostružina,proper
Rubus,"ostružina, malina, černica",Ostružina,proper
Rudbeckia laciniata,rudbekia úkrojkatá,Rudbekia Strapatá,proper
Rumex acetosa,štiav kyslý,Štiav Lúčny,proper
Rumex alpinus,štiav alpský,Štiavec Alpský,proper
Rumex crispus,štiav kučeravý,Štiavec Kučeravý,proper
Rumex maritimus,štiav prímorský,Štiavec Prímorský,proper
Rumex obtusifolius,štiav tupolistý,Štiavec Tupolistý,proper
Sabulina verna,kurička jarná,Kurička Smejkalova,proper
Salix aegyptiaca,vŕba perzská,Vŕba Egyptská,proper
Salix caprea,vŕba kozia,Vŕba Rakytová,proper
Salix daphnoides,vŕba lykovcovitá,Vŕba Lykovcová,proper
Salix euxina,vŕba čiernomorská,Vŕba Krehká,proper
Sambucus ebulus,baza podzemková,Baza Chabzdová,proper
Sanicula,žindava,Hviezdnatec,proper
Saxifraga rosacea,lomikameň ružovkastý,Lomikameň Trsnatý,proper
Saxifraga umbrosa,lomikameň tôňomilný,Lomikameň Tôňový,proper
Schefflera,šeflera,Dáždnikovník,proper
Schizaeaceae,rozklankovité,Vejárovkovité,proper
Scilla,scila,Scilovka,proper
Sclerocactus erectocentrus,sklerokaktus vzpriamený,Echinomastus Vzpriamený,proper
Sclerocactus mariposensis,sklerokaktus mariposký,Echinomastus Mariposký,proper
Scorzonera austriaca,hadí mor rakúsky,Hadomor Rakúsky,proper
Scorzonera,hadí mor,Hadí Koreň,proper
Sedum hybridum,rozchodník hybridný,Aizopsis Hybridný,proper
Sedum kamtschaticum,rozchodník kamčatský,Rozchodník Kvetonosný,proper
Sedum middendorfianum,rozchodník Middendorfov,Rozchodník Hybridný,proper
Sedum reflexum,rozchodník zohnutý,Rozchodník Skalný,proper
Sedum sarmentosum,rozchodník poplazový,Rozchodník Plazivý,proper
Sedum urvillei,rozchodník balkánsky,Rozchodník Hillebrandov,proper
Senecio ovatus,starček vajcovitý,Starček Vajcovitolistý,proper
Sesleria tatrae,ostrevka tatranská,Ostrevka Sadlerova,proper
Setaria pumila,bar sivý,Mohár Sivý,proper
Setaria verticillata,bar praslenatý,Mohár Praslenatý,proper
Setaria verticilliformis,bar klamný,Mohár Praslenatý,proper
Setaria viridis,bar zelený,Mohár Zelený,proper
Sideroxylon,železovník,Argánia,proper
Silene latifolia,silenka širokolistá,Knôtovka Biela,proper
Silene vulgaris,silenka nadutá,Silenka Obyčajná,proper
Silybum marianum,ostropestrec mariánsky,Pestrec Mariánsky,proper
Sisymbrium officinale,huľavník lekársky,Huľavníkovec Lekársky,proper
Smeathmannia,zubovka,Bartéria,proper
Solanum tuberosum,zemiak obyčajný,Ľuľok Zemiakový,proper
Solanum,"ľuľok, rajčiak, zemiak",Ľuľok,proper
Sorbus aria,mukyňa obyčajná,Jarabina Mukyňová,proper
Sorbus domestica,oskoruša domáca,Jarabina Oskorušová,proper
Sorbus hupehensis,jarabina chupejská,Jarabina Rôznofarebná,proper
Sorbus japonica,jarabina japonská,Jarabina Pomiešaná,proper
Sorbus torminalis,brekyňa obyčajná,Jarabina Brekyňová,proper
Staphylea,klokoč,Klokočka,proper
Symphyotrichum dumosum,astra krovisková,Astra Krovinatá,proper
Symphyotrichum lanceolatum,astra kopijovitá,Astra Kopijovitolistá,proper
Symphytum cordatum,kostihoj srdcovitý,Kostihoj Srdcovitolistý,proper
Syringa persica,orgován perzský,Orgován Afganský,proper
Taraxacum alpestre,púpava krkonošská,Púpava Pramenisková,proper
Taraxacum scanicum,púpava škandinávska,Púpava Purpurovoplodá,proper
Teucrium montanum,hrdobarka horská,Ožanka Horská,proper
Thymus marschallianus,materina dúška Marschallova,Materina Dúška Panónska,proper
Thymus vulgaris,materina dúška obyčajná,Dúška Tymianová,proper
Tonduzia,tondúzia,Alstónia,proper
Tonina,tonina,Lúčohlávok,proper
Tordylium maximum,zápalička najväčšia,Zápalička Väčšia,proper
Toxicodendron radicans,sumachovec zakoreňujúci,Sumachovec Popínavý,proper
Trachymene coerulea,trachyménka belasá,Dvojdisk Belasý,proper
Tradescantia paludosa,tradeskancia močiarna,Tradeskancia Ohijská,proper
Tragopogon dubius,kozia brada kyjačikovitá,Kozobrada Kyjačikovitá,proper
Tragopogon pratensis,kozia brada lúčna,Kozobrada Lúčna,proper
