rank,sciName,matches
subspecies,Juniperus communis nana,"[('Juniperus communis saxatilis (Juniperus communis nana)', 'Varieta')]"
subspecies,Lamium amplexicaule amplexicaule,"[('Lamium amplexicaule amplexicaule', 'Varieta')]"
subspecies,Larix decidua decidua,"[('Larix decidua decidua', 'Varieta')]"
subspecies,Larix decidua polonica,"[('Larix decidua polonica', 'Varieta')]"
subspecies,Lens culinaris orientalis,"[('Vicia orientalis (Lens culinaris orientalis)', 'Druh')]"
subspecies,Ligustrum obtusifolium suave,"[('Vtáčí Zob Tupolistý Pravý (Ligustrum obtusifolium suave)', 'Ligustrum obtusifolium obtusifolium')]"
subspecies,Lilium martagon martagon,"[('Lilium martagon martagon', 'Varieta')]"
subspecies,Lolium pratense apenninum,"[('Lolium apenninum (Lolium pratense apenninum)', 'Druh')]"
subspecies,Lolium temulentum temulentum,"[('Mätonoh Mámivý (Lolium temulentum temulentum)', 'Lolium temulentum')]"
subspecies,Lychnis flos-cuculi flos-cuculi,"[('Kukučka Lúčna (Lychnis flos-cuculi flos-cuculi)', 'Silene flos-cuculi')]"
subspecies,Milium effusum alpicola,"[('Pšeno Rozložité (Milium effusum alpicola)', 'Milium effusum')]"
subspecies,Moenchia erecta erecta,"[('Sivček Vzpriamený (Moenchia erecta erecta)', 'Moenchia erecta')]"
subspecies,Neotinea ustulata aestivalis,"[('Neotinea ustulata aestivalis', 'Varieta')]"
subspecies,Neotinea ustulata ustulata,"[('Neotinea ustulata ustulata', 'Varieta')]"
subspecies,Ophrys fusca pallida,"[('Ophrys pallida (Ophrys fusca pallida)', 'Druh')]"
subspecies,Ophrys holosericea holosericea,"[('Hmyzovník Čmeľovitý (Ophrys holosericea holosericea)', 'Ophrys fuciflora')]"
subspecies,Oxybasis glauca glauca,"[('Mrlík Sivý (Oxybasis glauca glauca)', 'Oxybasis glauca')]"
subspecies,Oxybasis urbica rhombifolia,"[('Mrlík Mestský (Oxybasis urbica rhombifolia)', 'Oxybasis urbica')]"
subspecies,Parnassia palustris palustris,"[('Parnassia palustris palustris', 'Varieta')]"
subspecies,Pentanema salicinum sabuletorum,"[('Pentanema sabuletorum (Pentanema salicinum sabuletorum)', 'Druh')]"
subspecies,Persicaria lapathifolia brittingeri,"[('Horčiak Štiavolistý (Persicaria lapathifolia brittingeri)', 'Persicaria lapathifolia')]"
